Year,Residential,Nonresidential,Civil,Population,Real GDP
1992,6349,2347,3040,3505700,111276
1993,6588,2323,2296,3542200,112501
1994,7749,2777,2297,3585200,119683
1995,8807,3563,2293,3634400,125801
1996,8879,4211,3182,3690600,131759
1997,9316,4327,3586,3747300,136491
1998,9592,4046,4069,3792100,139324
1999,8342,3928,3858,3821800,140515
2000,9954,3730,4755,3842900,148079
2001,8631,4016,4286,3865400,152328
2002,8814,4421,4490,3899500,157530
2003,10870,4464,4622,3970000,164958
2004,12464,4464,5201,4044900,172754
2005,12762,5104,5461,4101300,179820
2006,12131,5966,6180,4148000,185850
2007,12002,5579,6311,4196700,191017
2008,12232,5398,8004,4235300,196868
2009,9662,5507,8669,4271000,194849
2010,8842,5032,8618,4317900,194771
2011,9019,5128,7343,4362800,197637
2012,9300,5202,7286,4392500,201876
2013,10962,5177,7896,4417700,206524
2014,12647,5259,7415,4461500,211821
2015,13706,5859,7223,4541900,219911
2016,14687,6104,7056,4638200,228113
2017,16018,6698,6378,4742200,236653
2018,15773,6517,8052,4837700,244499
2019,15787,7151,8668,4919700,252622
2020,16228,7409,9192,5001600,258492
2021,16572,6491,9914,5077000,257870
2022,17049,6691,9558,5084600,268956
2023,16836,7450,9899,5105000,277953
2024,16020,8018,10830,5231600,282992
